legacy_path	v2_path	scientific_role	legacy_commit_sha	replacement_status	accepted_v2_run_id	validation_status	downstream_consumers	retirement_status	notes
meqtl-validation/04_cross_region_sharing/	08_region_donor_generalization/_h/01_cross_region_replication.R	Cross-region concordance	018e2b897	validated_replacement	rdg-AA-crossregion-20260918	accepted_tiered_generalization	11_integrated_manuscript_outputs	retain	v2 tier 1, the primary deliverable. Denominators are explicit: replication is scored only on tests complete in ALL THREE regions, because a test present in two and absent in the third would otherwise score as replicating everywhere it was measured. Agreement is direction plus within-analysis Spearman; AGENTS.md 7.6 forbids comparing levels across regions. Accepted 2026-09-18, PASS_REGION_DONOR_GENERALIZATION_QC. The gate certifies tiering and interpretation constraints, not a positive finding: a null replication passes. Module 08 refits nothing, so this run ID is superseded whenever Module 04, 05 or 07 reruns.
meqtl-validation/05_donor_group_comparison/	08_region_donor_generalization/_h/03_donor_group_concordance.R	Donor-group comparison	018e2b897	validated_replacement	rdg-AA-crossregion-20260918	accepted_tiered_generalization	11_integrated_manuscript_outputs	retain	v2 reads the recombined cells and reports ORDERING AGREEMENT only, against the analytic reliability ceiling. MAF and SNP opportunity are not matched but are not claimed either: config/analysis_thresholds.yml:donor_group sets ancestry_effect_claim_allowed: false, so no group claim is made that would need them matched first. Accepted 2026-09-18, PASS_REGION_DONOR_GENERALIZATION_QC. Concordance is read against the analytic reliability ceiling from 02/_h/16_reliability_ceiling.R; without it an imperfect rho reads as a donor-group difference when most of it is input uncertainty.
meqtl-validation/10_downsampling_caudate/	08_region_donor_generalization/_h/04_caudate_downsampling.R	Caudate downsampling	018e2b897	validated_replacement	rdg-AA-crossregion-20260918	accepted_tiered_generalization	09_schizophrenia_risk_application	retain	v2 tier 3, three real AA.n118r* cells (01b + 02 + 03 each), paired on locus against the full caudate run. It CANNOT establish that caudate results are not sample-size artifacts in the sense the legacy role claims: it licenses only whether donor count explains the excess, and a surviving residual is not biological because caudate stays batch-confounded (AGENTS.md 8.1). Accepted 2026-09-18, PASS_REGION_DONOR_GENERALIZATION_QC. Upstream chains are the three AA.n118r* cells (01b + 02 + 03 each), pinned in the run manifest.
meqtl-validation/13_vmr_universe_nmatched/	08_region_donor_generalization/_h/04_caudate_downsampling.R	Sample-size-matched VMR universe	018e2b897	validated_replacement	rdg-AA-crossregion-20260918	accepted_tiered_generalization	11_integrated_manuscript_outputs	retain	v2 holds the locus set FIXED across the full run and every replicate rather than rebuilding a matched VMR universe: a redrawn universe would confound donor count with locus turnover, which is the one thing this tier must not do. Accepted 2026-09-18, PASS_REGION_DONOR_GENERALIZATION_QC.
meqtl-validation/08_schizophrenia_risk_application/	09_schizophrenia_risk_application/	Schizophrenia-risk application (Phase 7)	018e2b897	validated_replacement	scz-AA-caudate-20260918;scz-AA-dlpfc-20260918;scz-AA-hippocampus-20260918	accepted_retain_main_text	11_integrated_manuscript_outputs	retain	Accepted 2026-09-19, PASS_SCZ_APPLICATION_QC with RETAIN_MAIN_TEXT and CAUDATE_MAGNITUDE_CLAIM_NOT_SUPPORTED, on the fully rerun and reprioritized corrected VMRs. Stage 17 qualifies the result: the axis depletion is TRAIT-GENERAL across 63 GWAS traits and schizophrenia is a typical example (17th-33rd percentile by region), so never write schizophrenia-specific (AGENTS.md 7.8). Colocalization authorised by PI 2026-09-09 (GTEx v11 EUR arm gate-bearing; cross-ancestry meQTL arm exploratory). caudate_not_sample_size_artifact is now resolved from Module 08 tier 3 (rdg-AA-crossregion-20260918) as CAUDATE_MAGNITUDE_CLAIM_NOT_SUPPORTED: donor count is a plausible major contributor, and tier 3 could not have promoted a surviving excess to biology in any case because caudate stays batch-confounded (AGENTS.md 8.1).
meqtl-validation/12_supplementary_data/	11_integrated_manuscript_outputs/	Supplementary tables	018e2b897	not_started		not_validated	none	retain	
sensitivity-analysis/	11_integrated_manuscript_outputs/	Stacked/Venn/Sankey figures	018e2b897	invalid_withdrawn		invalid	none	remove_before_submission	Group definition depends on r_squared_cv > 0.75; withdrawn, not migrated
environmental-analysis/	10_environmental_exploratory/	Exposure associations	018e2b897	validated_replacement	env-AA-caudate-20260920-a;env-AA-dlpfc-20260920-a;env-AA-hippocampus-20260920-a	accepted_exploratory_coverage_near_total_null	11_integrated_manuscript_outputs	retain_until_replacement_validated	PI decision 2026-09-10: retained as an exploratory supplemental module (AGENTS.md 7.10, 12). Only the exposure -> methylation scan migrates; the h2_category grouping it was read against is withdrawn with the metrics it derives from (AGENTS.md 2.3, 3). Accepted 2026-09-20, PASS_EXPLORATORY_COVERAGE -- a COVERAGE gate, so a null is a legitimate outcome and did not block sealing; the result is a near-total null. The accepted runs keep smoking (lifetime history) and nicotine (toxicology at death) as SEPARATE exposures rather than one tobacco variable, per AGENTS.md 7.10, which supersedes the 'tobacco' naming later in this note. retirement_status is left at retain_until_replacement_validated although that condition is now met: retiring the legacy tree is a PI act, not a bookkeeping consequence. Two strata (all, schizophrenia): annotation is diagnosis-dependent and the CONTROL stratum is the thin one, so pooled missingness is not random. antipsychotics has zero exposed controls and is schizophrenia-only; lifetime_antipsych is retired as a perfect proxy for primarydx. Eligible pairs in AA caudate: tobacco/any_substance_nontobacco/education/marital_status pooled, plus tobacco/antipsychotics/any_trauma_hx within schizophrenia. Individual substance-use variables and the opioid and psychostimulant class composites clear no gate in any stratum.
simulation-analysis/elastic-net/	(none)	Legacy elastic-net simulations	018e2b897	invalid_withdrawn		invalid	none	remove_before_submission	Same in-sample estimator as E1; superseded by 02_local_genetic_variance
qc_analysis/	11_integrated_manuscript_outputs/	WGBS quality control and sample integrity	018e2b897	not_started		not_validated	11_integrated_manuscript_outputs	retain	Omitted from the original manifest, not retired. Per-region coverage and methylation QC, covariate correlation/trend heatmaps. 04.qc_tissue_compare.qmd cross-region donor concordance (sample-swap and mislabeling detection) has no v2 equivalent; Module 01 does per-cell coverage QC only.
qc_analysis/replication_cohort/	11_integrated_manuscript_outputs/	Ancestry confirmation and all_individuals arm QC	018e2b897	not_started		not_validated	11_integrated_manuscript_outputs	retain	NOT an external replication cohort: reads inputs/wgbs-data/combined/_m (n=286/176/180), which is the all_individuals arm locked in config/cohorts.yml:104. 04.plot_pc.R SNP PC plot with 1000 Genomes overlay has no v2 equivalent.
sample_summary/	11_integrated_manuscript_outputs/	Table 1 donor demographics	018e2b897	not_started		not_validated	11_integrated_manuscript_outputs	retain	Omitted from the original manifest, not retired. No v2 module produces Table 1. Legacy donor set is read from vmr-analysis/all_individuals/{tissue}/_m/samples.txt, invalidated by V1, so the existing table is wrong; 8 donors excluded by the retired blacklists are included in v2 (config/cohorts.yml:118). Rebuild against accepted vmrcat-*-20260816 runs.
local-snp-prediction/BA_only/tissue_comparison/clinical_enrichment/s-ldsc/	06_partitioned_heritability/	S-LDSC partitioned heritability	018e2b897	implemented_unvalidated	sldsc-AA-caudate-20260903;sldsc-AA-dlpfc-20260903;sldsc-AA-hippocampus-20260903	estimand_withdrawn_rerun_required	09_schizophrenia_risk_application;11_integrated_manuscript_outputs	retain	Accepted 2026-09-08 AA EUR-primary continuous local_snp_contribution_score_z, then WITHDRAWN 2026-09-23: those runs used a one-annotation model whose tau conflates VMR membership with the within-VMR gradient, so their sldsc_supports_brain_enrichment=FALSE is not a null for the question the module asks. Two-annotation model (VMR_TESTED + LOCAL_SNP_CONTRIBUTION_Z) landed on module06/two-annotation-model; stages 03/05/06/07/08 must be rerun for all three cells. Module 09 is unaffected: adds_nothing_beyond_nonsignificant_sldsc is pi_judgment_not_gated, so no Module 09 decision depends on the withdrawn value. AFR arm not part of this acceptance.
local-snp-prediction/BA_only/tissue_comparison/clinical_enrichment/fine-mapping/	(none)	SuSiE fine-mapping from summary statistics	018e2b897	not_started		not_validated	none	retain	Lower priority: Module 09 consumes PGC3 loci that are already fine-mapped upstream (config/schizophrenia.yml:locus_definition).
local-snp-prediction/BA_only/tissue_comparison/annotation/open_chromatin/	04_repeat_repressive_architecture/	Accessible-chromatin contrast (BrainScope cell-type ATAC CREs)	018e2b897	not_started		not_validated	11_integrated_manuscript_outputs	retain	Module 04 locks three repressive outcomes (H3K9me3, quiescent, LINE/L1) and has no active/accessible contrast, so the concentration claim in AGENTS.md 2.1 cannot show complementary depletion. Requires PI unlock of config/repeat_annotations.yml and must land before the first accepted Module 04 run so the BH family is fixed once.
local-snp-prediction/BA_only/tissue_comparison/annotation/repressive_chromatin/	04_repeat_repressive_architecture/	H3K27me3 and bivalent specificity control	018e2b897	not_started		not_validated	11_integrated_manuscript_outputs	retain	v2 covers H3K9me3 and quiescent chromatin only. H3K27me3 and ChromHMM bivalent states distinguish constitutive heterochromatin from Polycomb generally. Same PI unlock and same timing constraint as open_chromatin.
simulation-analysis/comparison/correlation/	02_local_genetic_variance/	Independent estimator concordance (GCTA-GREML, gradient boosting)	018e2b897	not_started		not_validated	11_integrated_manuscript_outputs	retain	Module 02 observed-regime grid supersedes the synthetic sample-size and LD-decay sweeps, but no second independently implemented estimator is ever correlated against the accepted score. Additive audit only; does not reopen the accepted run.
simulation-analysis/comparison/error_rate/	(none)	Threshold classification error rates	018e2b897	invalid_withdrawn		invalid	none	remove_before_submission	Scores the retired r_squared_cv > 0.75 / h2 0.1 classification (AGENTS.md 3); FPR/FNR against that ground truth is moot under the relative-rank endpoint.
local-snp-prediction/BA_only/tissue_comparison/functional_enrichment/	(none)	rGREAT GO/Reactome/KEGG enrichment	018e2b897	invalid_withdrawn		invalid	none	remove_before_submission	Gene-set sets are defined by the retired heritable/non-heritable threshold classification, and AGENTS.md bars unbounded gene-set scans.
local-snp-prediction/BA_only/tissue_comparison/upset_plot/	08_region_donor_generalization/	Cross-region VMR overlap presentation (UpSet, Venn, circos, pairwise correlation)	018e2b897	not_started		not_validated	11_integrated_manuscript_outputs	retain	Module 07 migrates only from meqtl-validation/04,05,10,13, leaving these unrouted. Module 09 Figure 2 already emits cross-region rank concordance, which covers the scientific content; reciprocal-overlap and UpSet presentation is optional. Covers sibling dirs h2_pairwise_corr/, h2_concordance/, venn_diagram/, circos_plot/.
local-snp-prediction/BA_only/tissue_comparison/annotation/h2_continuous/	(none)	Gene-proximal enrichment as an endpoint	018e2b897	invalid_withdrawn		invalid	none	remove_before_submission	Module 04 carries broad_genomic_annotation as a covariate and Module 01 04c_genomic_context.R is descriptive only, so gene proximity is deliberately never an endpoint in v2. Recorded as a deliberate choice, not an oversight.
environmental-analysis/all_individuals/tissue_compare/non_heritable_subgroup/	(none)	Cryptic-heritability subgroup split (Group A/B/C)	018e2b897	invalid_withdrawn		invalid	none	remove_before_submission	Group definition depends on the retired threshold classification in both cohorts; retired with the rest of the exposure tree per AGENTS.md 2.3.
vmr-analysis/all_individuals/{region}/_h/01.get_cpg_stats.R (samples-AA.txt / samples-EA.txt)	01b_estimation_cells/_h/00_new_run.R	Donor-group sample lists for within-group SNP modeling on a pooled-discovery VMR set	018e2b897	validated_replacement	estcell-all_individuals.AA-caudate-20260910;estcell-all_individuals.AA-dlpfc-20260910;estcell-all_individuals.AA-hippocampus-20260910;estcell-all_individuals.EA-caudate-20260910;estcell-all_individuals.EA-dlpfc-20260910;estcell-all_individuals.EA-hippocampus-20260910;estcell-AA.n118r1-caudate-20260918;estcell-AA.n118r2-caudate-20260918;estcell-AA.n118r3-caudate-20260918	accepted_all_five_criteria	02_local_genetic_variance;03_local_snp_prediction	retain	v1 derived the group lists from the phenotype table at discovery time. v2 derives them from the accepted pooled run's donors_plink.txt instead, so a cell is provably a subset of the discovery set, and proves the cells are disjoint and cover every pooled donor. Accepted 2026-09-10 (six donor-group cells) and 2026-09-18 (three n118 replicates), ALL_FIVE_CRITERIA_PASS; cells verified as true subsets of the pooled discovery run by BED SHA-256. Module 01b writes no decision field to manifest.tsv; the README table is the authority. Passing this gate does not mean a cell can produce a defensible Module 02 score. Provenance defect (F10): six runs record a commit containing none of this module's code -- regenerate from de1795f90, see 01b_estimation_cells/_m/README.md.
vmr-analysis/all_individuals/{region}/_h/step_5.sh:95-122 (plink2 --keep samples-{AA,EA}.txt)	01b_estimation_cells/_h/step_2_extract_cis.sh	Per-donor-group cis genotype extraction over a shared locus set	018e2b897	validated_replacement	estcell-all_individuals.AA-caudate-20260910;estcell-all_individuals.AA-dlpfc-20260910;estcell-all_individuals.AA-hippocampus-20260910;estcell-all_individuals.EA-caudate-20260910;estcell-all_individuals.EA-dlpfc-20260910;estcell-all_individuals.EA-hippocampus-20260910;estcell-AA.n118r1-caudate-20260918;estcell-AA.n118r2-caudate-20260918;estcell-AA.n118r3-caudate-20260918	accepted_all_five_criteria	02_local_genetic_variance;03_local_snp_prediction	retain	Same two-pass --keep design. v2 adds the V9/V10/V11/V12 repairs (clamp to 1 and to this chromosome's length, window from config, plink2 from the opt tree) and records no_cis_variants per cell, since a window can carry variants in one group and none in the other. Accepted with the same nine 01b runs (2026-09-10 and 2026-09-18), ALL_FIVE_CRITERIA_PASS. Same F10 provenance defect on the six 2026-09-10 cells.
local-snp-prediction/all_individuals/{region}/_m/{region}_summary_elastic-net_{AA,EA}.tsv	03_local_snp_prediction/_m/runs/lsp-all_individuals.{AA,EA}-{region}-*/results/combined/	Within-donor-group local SNP prediction	018e2b897	validated_replacement	lsp-all_individuals.AA-caudate-20260918;lsp-all_individuals.AA-dlpfc-20260918;lsp-all_individuals.AA-hippocampus-20260918;lsp-all_individuals.EA-caudate-20260918;lsp-all_individuals.EA-dlpfc-20260918;lsp-all_individuals.EA-hippocampus-20260918	invalid	02_local_genetic_variance;08_region_donor_generalization	remove_before_submission	legacy_invalid_for_prediction_accuracy: the v1 tables carry r_squared_cv, an IN-SAMPLE fit (defect E1), and h2_unscaled. Both are banned by gates.R. v2 replaces them with end-to-end out-of-fold r2_pred_oof per cell. v1 loci are separately invalid under defect V1. v2 replacement accepted 2026-09-18, PASS_OOF_PREDICTION_QC on the six all_individuals.{AA,EA} cells. validation_status stays invalid because it describes THIS legacy table, which is not made valid by the replacement being accepted. Per-cell r2_pred_oof is not comparable across cells: n ranges 55-153 and the cells order by donor count, not donor group.
local-snp-prediction/all_individuals/tissue_comparison/venn_diagram/_h/02.compare_cohort.R	02_local_genetic_variance/_h/14_combine_donor_group_cells.R;03_local_snp_prediction/_h/07_stack_donor_group_predictions.R	Recombination of the two donor-group cells	018e2b897	validated_replacement	lgv-all_individuals.AA-caudate-20260913;lgv-all_individuals.AA-dlpfc-20260913;lgv-all_individuals.AA-hippocampus-20260913;lgv-all_individuals.EA-caudate-20260917;lgv-all_individuals.EA-dlpfc-20260917;lgv-all_individuals.EA-hippocampus-20260917;lsp-all_individuals.AA-caudate-20260918;lsp-all_individuals.AA-dlpfc-20260918;lsp-all_individuals.AA-hippocampus-20260918;lsp-all_individuals.EA-caudate-20260918;lsp-all_individuals.EA-dlpfc-20260918;lsp-all_individuals.EA-hippocampus-20260918	invalid	08_region_donor_generalization;11_integrated_manuscript_outputs	remove_before_submission	v1 joined on locus coordinates with _AA/_EA suffixes, then filtered on h2_category agreement -- a threshold on the withdrawn h2_unscaled, so the v1 result is invalid. v2 keeps the join and drops the classification: no pooled rank, no cross-cell score difference, no pooled r2 (AGENTS.md 7.6). Loci eligible in only one cell are labelled, not dropped. v2 cells accepted 2026-09-17 (Module 02) and 2026-09-18 (Module 03). validation_status stays invalid because it describes the v1 h2_category filter, which no accepted run rehabilitates. The only reportable quantity from the recombination is ordering agreement (AGENTS.md 7.7).
